time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.005818,-0.0503,-0.0304,-0.3786,0.383
0.009130,-0.0503,-0.0304,-0.3786,0.383
0.010202,0.0029,0.0052,0.0554,0.056
0.010868,0.0029,0.0052,0.0554,0.056
0.040850,-0.0487,-0.0502,0.0372,0.079
0.046937,-0.0487,-0.0502,0.0372,0.079
0.048457,0.0805,0.0863,0.0028,0.118
0.049695,0.0805,0.0863,0.0028,0.118
0.068938,0.1189,0.1109,-0.0051,0.163
0.070420,0.1189,0.1109,-0.0051,0.163
0.087304,0.0484,0.1213,0.0044,0.131
0.088496,0.0484,0.1213,0.0044,0.131
0.109143,0.0553,0.0929,0.1224,0.163
0.110507,0.0553,0.0929,0.1224,0.163
0.127910,0.0319,-0.0286,-0.0669,0.079
0.129201,0.0319,-0.0286,-0.0669,0.079
0.149137,0.0397,0.0407,0.0948,0.111
0.150141,0.0397,0.0407,0.0948,0.111
0.167839,-0.0046,0.0961,0.0894,0.131
0.168806,-0.0046,0.0961,0.0894,0.131
0.188353,0.0047,0.0532,-0.0986,0.112
0.189650,0.0047,0.0532,-0.0986,0.112
0.208686,0.0963,0.0871,0.1229,0.179
0.211251,0.0963,0.0871,0.1229,0.179
0.230655,0.1042,0.1705,-0.1415,0.245
0.231859,0.1042,0.1705,-0.1415,0.245
0.247538,-0.0011,0.0858,-0.0334,0.092
0.248481,-0.0011,0.0858,-0.0334,0.092
0.268494,0.0525,0.0731,-0.0840,0.123
0.269752,0.0525,0.0731,-0.0840,0.123
0.287708,-0.0507,0.0755,0.0104,0.092
0.289160,-0.0507,0.0755,0.0104,0.092
0.307603,0.0069,0.0262,-0.1523,0.155
0.309082,0.0069,0.0262,-0.1523,0.155
0.327649,0.0248,0.0028,0.0257,0.036
0.328423,0.0248,0.0028,0.0257,0.036
0.352227,-0.0044,0.0197,0.0260,0.033
0.354319,-0.0044,0.0197,0.0260,0.033
0.367569,-0.1027,0.1004,-0.0053,0.144
0.368645,-0.1027,0.1004,-0.0053,0.144
0.387886,-0.0776,0.0567,-0.0500,0.108
0.389194,-0.0776,0.0567,-0.0500,0.108
0.406919,-0.0851,0.0721,-0.1504,0.187
0.408655,-0.0851,0.0721,-0.1504,0.187
0.426917,-0.0330,0.1420,-0.1470,0.207
0.428126,-0.0330,0.1420,-0.1470,0.207
0.448065,-0.0161,0.1467,-0.0543,0.157
0.449230,-0.0161,0.1467,-0.0543,0.157
0.468007,-0.0208,0.1708,0.0621,0.183
0.469173,-0.0208,0.1708,0.0621,0.183
0.488940,0.0434,0.0887,0.0284,0.103
0.490279,0.0434,0.0887,0.0284,0.103
0.508141,-0.0672,0.0229,0.0907,0.115
0.509823,-0.0672,0.0229,0.0907,0.115
0.537669,-0.0706,0.0079,-0.1750,0.189
0.539373,-0.0706,0.0079,-0.1750,0.189
0.548427,-0.1055,0.1094,-0.0230,0.154
0.549598,-0.1055,0.1094,-0.0230,0.154
0.567990,-0.0753,0.1268,-0.0661,0.162
0.569574,-0.0753,0.1268,-0.0661,0.162
0.588027,-0.1286,0.0464,0.0172,0.138
0.589579,-0.1286,0.0464,0.0172,0.138
0.607957,-0.1505,0.0382,0.0275,0.158
0.609528,-0.1505,0.0382,0.0275,0.158
0.627178,-0.2064,0.0270,0.0549,0.215
0.627902,-0.2064,0.0270,0.0549,0.215
0.654514,-0.1956,0.0322,-0.0346,0.201
0.655978,-0.1956,0.0322,-0.0346,0.201
0.667833,-0.1420,0.1019,-0.0981,0.200
0.668612,-0.1420,0.1019,-0.0981,0.200
0.687773,-0.0610,0.1025,-0.0740,0.140
0.689304,-0.0610,0.1025,-0.0740,0.140
0.708137,-0.1005,0.0688,-0.0342,0.126
0.709774,-0.1005,0.0688,-0.0342,0.126
0.727600,-0.1188,0.0467,-0.0033,0.128
0.729467,-0.1188,0.0467,-0.0033,0.128
0.747746,-0.2330,-0.0432,0.0304,0.239
0.749342,-0.2330,-0.0432,0.0304,0.239
0.771154,-0.1733,0.0085,-0.0214,0.175
0.772579,-0.1733,0.0085,-0.0214,0.175
0.788145,-0.1050,0.0492,-0.1624,0.200
0.789178,-0.1050,0.0492,-0.1624,0.200
0.813182,-0.1314,0.0893,-0.0525,0.167
0.814820,-0.1314,0.0893,-0.0525,0.167
0.827140,-0.0814,0.0558,-0.0225,0.101
0.828410,-0.0814,0.0558,-0.0225,0.101
0.847024,-0.1618,0.0059,-0.0619,0.173
0.848281,-0.1618,0.0059,-0.0619,0.173
0.867056,-0.1234,0.0024,-0.1032,0.161
0.868259,-0.1234,0.0024,-0.1032,0.161
0.887355,-0.0541,0.0385,-0.0850,0.108
0.888207,-0.0541,0.0385,-0.0850,0.108
0.906613,0.0607,0.0195,-0.1608,0.173
0.907735,0.0607,0.0195,-0.1608,0.173
0.926992,0.0019,-0.0928,-0.1887,0.210
0.928124,0.0019,-0.0928,-0.1887,0.210
0.947398,0.1004,-0.1037,-0.0750,0.163
0.949606,0.1004,-0.1037,-0.0750,0.163
0.967667,0.3430,-0.1010,-0.1641,0.393
0.969282,0.3430,-0.1010,-0.1641,0.393
0.987007,0.4248,-0.1943,-0.1417,0.488
0.988281,0.4248,-0.1943,-0.1417,0.488
1.006509,0.5399,-0.5292,-0.2754,0.805
1.008109,0.5399,-0.5292,-0.2754,0.805
1.026720,0.6239,-0.5188,0.2235,0.842
1.027557,0.6239,-0.5188,0.2235,0.842
1.049845,0.8190,-0.0329,-0.3648,0.897
1.051875,0.8190,-0.0329,-0.3648,0.897
1.071710,0.6251,0.6018,-0.0081,0.868
1.073114,0.6251,0.6018,-0.0081,0.868
1.087335,0.5926,1.2823,-0.1010,1.416
1.088149,0.5926,1.2823,-0.1010,1.416
1.106776,0.5154,1.3125,-0.2375,1.430
1.108092,0.5154,1.3125,-0.2375,1.430
1.126801,0.4784,0.4792,-0.3702,0.772
1.128411,0.4784,0.4792,-0.3702,0.772
1.147021,0.3812,-0.0574,0.1382,0.410
1.148631,0.3812,-0.0574,0.1382,0.410
1.166853,0.4212,-0.2159,0.2548,0.538
1.167806,0.4212,-0.2159,0.2548,0.538
1.187216,0.0204,-0.1258,0.2394,0.271
1.188678,0.0204,-0.1258,0.2394,0.271
1.206815,-0.2870,-0.0769,0.2984,0.421
1.208365,-0.2870,-0.0769,0.2984,0.421
1.227132,-0.1948,-0.0484,0.1171,0.232
1.228919,-0.1948,-0.0484,0.1171,0.232
