time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.004680,-0.2140,0.1349,0.0569,0.259
0.005516,-0.2140,0.1349,0.0569,0.259
0.031735,0.2371,0.1202,-0.0250,0.267
0.032935,0.2371,0.1202,-0.0250,0.267
0.046100,0.3789,0.0679,0.0463,0.388
0.047102,0.3789,0.0679,0.0463,0.388
0.068752,-0.1871,-0.0149,-0.6364,0.664
0.069473,-0.1871,-0.0149,-0.6364,0.664
0.080381,0.0652,0.0590,0.3321,0.344
0.081501,0.0652,0.0590,0.3321,0.344
0.100389,0.1762,-0.0012,0.0292,0.179
0.101275,0.1762,-0.0012,0.0292,0.179
0.119536,0.0037,-0.0778,-0.2123,0.226
0.120447,0.0037,-0.0778,-0.2123,0.226
0.140545,-0.3849,0.1308,-0.3036,0.507
0.141456,-0.3849,0.1308,-0.3036,0.507
0.161880,0.0209,0.2374,0.0519,0.244
0.163119,0.0209,0.2374,0.0519,0.244
0.180585,0.0916,-0.0215,0.0852,0.127
0.181756,0.0916,-0.0215,0.0852,0.127
0.203153,0.1051,-0.1960,0.1061,0.246
0.204584,0.1051,-0.1960,0.1061,0.246
0.219512,-0.0106,0.0443,-0.1942,0.199
0.221488,-0.0106,0.0443,-0.1942,0.199
0.245131,-0.0215,0.1899,-0.2068,0.282
0.246527,-0.0215,0.1899,-0.2068,0.282
0.272630,-0.0032,0.0999,-0.0798,0.128
0.273379,-0.0032,0.0999,-0.0798,0.128
0.279741,-0.0846,-0.0452,0.1055,0.143
0.280539,-0.0846,-0.0452,0.1055,0.143
0.300124,-0.1585,-0.0167,0.1900,0.248
0.301543,-0.1585,-0.0167,0.1900,0.248
0.319386,0.0347,0.0364,0.1737,0.181
0.320323,0.0347,0.0364,0.1737,0.181
0.348809,0.0684,0.1083,0.0756,0.149
0.350554,0.0684,0.1083,0.0756,0.149
0.360020,-0.1116,0.0988,0.1240,0.194
0.361298,-0.1116,0.0988,0.1240,0.194
0.379098,-0.1526,0.0971,0.1126,0.213
0.380382,-0.1526,0.0971,0.1126,0.213
0.399442,-0.0282,0.0732,-0.1085,0.134
0.401399,-0.0282,0.0732,-0.1085,0.134
0.419902,0.1029,0.0214,-0.2382,0.260
0.420847,0.1029,0.0214,-0.2382,0.260
0.446920,-0.2071,-0.0614,0.4075,0.461
0.448727,-0.2071,-0.0614,0.4075,0.461
0.459105,-0.2506,0.0583,-0.0421,0.261
0.459886,-0.2506,0.0583,-0.0421,0.261
0.479914,-0.3371,0.1644,-0.1828,0.417
0.481278,-0.3371,0.1644,-0.1828,0.417
0.499191,-0.0937,0.0624,0.0011,0.113
0.500071,-0.0937,0.0624,0.0011,0.113
0.520123,-0.0232,-0.0675,0.0002,0.071
0.521112,-0.0232,-0.0675,0.0002,0.071
0.544693,0.1242,-0.1184,0.0965,0.197
0.545798,0.1242,-0.1184,0.0965,0.197
0.559622,0.0991,0.1270,0.1479,0.219
0.561035,0.0991,0.1270,0.1479,0.219
0.579719,0.1189,0.2008,0.1607,0.283
0.580787,0.1189,0.2008,0.1607,0.283
0.598847,0.0052,0.0076,0.0460,0.047
0.599945,0.0052,0.0076,0.0460,0.047
0.619504,-0.1567,-0.2963,-0.0307,0.337
0.620438,-0.1567,-0.2963,-0.0307,0.337
0.648717,-0.3557,-0.2736,0.1650,0.478
0.650183,-0.3557,-0.2736,0.1650,0.478
0.659406,-0.3395,-0.0581,0.1198,0.365
0.660246,-0.3395,-0.0581,0.1198,0.365
0.679562,-0.2656,0.0685,0.0039,0.274
0.680943,-0.2656,0.0685,0.0039,0.274
0.699412,-0.1637,0.0068,0.3511,0.387
0.701213,-0.1637,0.0068,0.3511,0.387
0.719518,-0.1480,-0.0829,0.3443,0.384
0.720561,-0.1480,-0.0829,0.3443,0.384
0.743573,-0.1718,-0.1089,-0.2496,0.322
0.745062,-0.1718,-0.1089,-0.2496,0.322
0.760854,0.0491,-0.0893,0.0702,0.124
