time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
1.240996,0.1019,0.3109,-1.9493,1.977
1.257878,0.0119,1.2202,-2.3002,2.604
1.258915,0.0119,1.2202,-2.3002,2.604
1.279348,-0.2918,1.8182,-1.1011,2.146
1.280950,-0.2918,1.8182,-1.1011,2.146
1.299470,0.0104,1.3574,-0.5990,1.484
1.300947,0.0104,1.3574,-0.5990,1.484
1.318519,0.8659,0.0044,0.1047,0.872
1.319568,0.8659,0.0044,0.1047,0.872
1.338471,0.8679,-1.6932,0.8025,2.065
1.340088,0.8679,-1.6932,0.8025,2.065
1.357971,0.1876,-2.4960,0.9749,2.686
1.359398,0.1876,-2.4960,0.9749,2.686
1.378348,-0.2449,-2.3200,0.7578,2.453
1.380592,-0.2449,-2.3200,0.7578,2.453
1.408964,-0.2625,-2.0246,1.2432,2.390
1.412101,-0.2625,-2.0246,1.2432,2.390
1.432166,0.1647,-1.8077,0.7828,1.977
1.433704,0.1647,-1.8077,0.7828,1.977
1.439080,0.6042,-1.9112,1.2344,2.354
1.440339,0.6042,-1.9112,1.2344,2.354
1.459006,0.3154,-2.2329,1.2538,2.580
1.461046,0.3154,-2.2329,1.2538,2.580
1.478393,0.0361,-2.1765,0.8836,2.349
1.480317,0.0361,-2.1765,0.8836,2.349
1.498472,-0.1033,-1.6100,0.7864,1.795
1.501258,-0.1033,-1.6100,0.7864,1.795
1.517941,0.0859,-1.0935,0.6259,1.263
1.518823,0.0859,-1.0935,0.6259,1.263
1.539622,0.1814,-0.7740,1.4699,1.671
1.541109,0.1814,-0.7740,1.4699,1.671
1.559193,0.0278,-0.6623,1.6217,1.752
1.561582,0.0278,-0.6623,1.6217,1.752
1.578561,-0.1129,-0.7318,1.5412,1.710
1.579640,-0.1129,-0.7318,1.5412,1.710
1.598554,-0.3658,-0.3022,0.7118,0.855
1.600038,-0.3658,-0.3022,0.7118,0.855
1.618949,-0.1356,0.5418,0.5671,0.796
1.620134,-0.1356,0.5418,0.5671,0.796
1.638916,-0.1179,1.7809,0.3339,1.816
1.640900,-0.1179,1.7809,0.3339,1.816
