time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
1.230636,0.0133,0.2135,-0.0877,0.231
1.232182,0.0133,0.2135,-0.0877,0.231
1.253178,0.1777,0.1750,-0.1382,0.285
1.255038,0.1777,0.1750,-0.1382,0.285
1.270804,0.2429,0.1868,0.0523,0.311
1.272301,0.2429,0.1868,0.0523,0.311
1.291234,0.2979,0.1341,0.1549,0.362
1.292674,0.2979,0.1341,0.1549,0.362
1.312690,0.2191,-0.1433,-0.0928,0.278
1.313942,0.2191,-0.1433,-0.0928,0.278
1.330897,-0.0652,-0.1428,-0.0768,0.175
1.332538,-0.0652,-0.1428,-0.0768,0.175
1.351096,-0.2883,0.1686,0.0797,0.343
1.352945,-0.2883,0.1686,0.0797,0.343
1.371296,0.0776,0.2406,-0.2695,0.369
1.372775,0.0776,0.2406,-0.2695,0.369
1.392420,0.1639,0.2351,-0.2790,0.400
1.393964,0.1639,0.2351,-0.2790,0.400
1.410797,0.1989,-0.0475,-0.1699,0.266
1.411848,0.1989,-0.0475,-0.1699,0.266
1.435516,-0.0917,-0.1410,-0.2221,0.279
1.437389,-0.0917,-0.1410,-0.2221,0.279
1.453495,-0.3041,0.0495,-0.1551,0.345
1.455390,-0.3041,0.0495,-0.1551,0.345
1.473728,-0.0974,0.1827,-0.0187,0.208
1.474831,-0.0974,0.1827,-0.0187,0.208
1.491535,0.1343,0.1819,0.0126,0.226
1.493020,0.1343,0.1819,0.0126,0.226
1.512612,0.1210,-0.0265,0.0723,0.143
1.515902,0.1210,-0.0265,0.0723,0.143
1.532783,-0.0739,-0.0315,0.0329,0.087
1.534298,-0.0739,-0.0315,0.0329,0.087
1.551924,-0.2556,0.0904,0.0347,0.273
1.554619,-0.2556,0.0904,0.0347,0.273
1.570211,-0.0276,0.2219,0.0313,0.226
1.571230,-0.0276,0.2219,0.0313,0.226
1.590868,0.1217,0.0632,0.2751,0.307
1.592162,0.1217,0.0632,0.2751,0.307
1.611621,0.1447,0.0751,0.5675,0.590
1.612965,0.1447,0.0751,0.5675,0.590
1.630254,-0.1275,0.0690,0.4811,0.502
1.631424,-0.1275,0.0690,0.4811,0.502
1.650874,-0.1507,0.0287,-0.4369,0.463
1.652473,-0.1507,0.0287,-0.4369,0.463
1.671157,0.0706,-0.0211,-0.1281,0.148
1.673354,0.0706,-0.0211,-0.1281,0.148
1.690533,0.0993,-0.1705,-0.2844,0.346
1.692286,0.0993,-0.1705,-0.2844,0.346
1.718097,0.2401,-0.0581,-0.5966,0.646
1.726555,0.2401,-0.0581,-0.5966,0.646
1.735909,0.1560,0.0483,-0.3419,0.379
1.737568,0.1560,0.0483,-0.3419,0.379
1.752197,0.0454,0.0478,-0.3975,0.403
1.754544,0.0454,0.0478,-0.3975,0.403
1.770628,0.0112,0.1225,-0.2221,0.254
1.771990,0.0112,0.1225,-0.2221,0.254
1.795065,-0.0709,0.1031,-0.1402,0.188
1.796252,-0.0709,0.1031,-0.1402,0.188
1.811641,-0.0140,0.0442,-0.0794,0.092
1.812933,-0.0140,0.0442,-0.0794,0.092
1.830121,-0.0716,0.0173,-0.0150,0.075
