time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002645,-0.0198,-0.0093,-0.1032,0.106
0.003840,-0.0198,-0.0093,-0.1032,0.106
0.031171,0.0520,0.0190,0.0471,0.073
0.032738,0.0520,0.0190,0.0471,0.073
0.057273,0.0273,0.0327,0.0072,0.043
0.058307,0.0273,0.0327,0.0072,0.043
0.067547,-0.0397,0.0255,0.0262,0.054
0.068402,-0.0397,0.0255,0.0262,0.054
0.084327,-0.0855,0.1281,0.0611,0.166
0.085136,-0.0855,0.1281,0.0611,0.166
0.102760,-0.0705,0.1448,-0.0441,0.167
0.103504,-0.0705,0.1448,-0.0441,0.167
0.133427,-0.0296,0.0764,-0.0312,0.088
0.134531,-0.0296,0.0764,-0.0312,0.088
0.142485,-0.0100,0.0253,-0.0334,0.043
0.143612,-0.0100,0.0253,-0.0334,0.043
0.162743,-0.0013,0.0008,-0.0423,0.042
0.163608,-0.0013,0.0008,-0.0423,0.042
0.183692,0.0380,0.1076,-0.0341,0.119
0.184360,0.0380,0.1076,-0.0341,0.119
0.202344,-0.0102,0.0185,-0.0088,0.023
0.203154,-0.0102,0.0185,-0.0088,0.023
0.230849,0.0431,0.0215,0.0460,0.067
0.232726,0.0431,0.0215,0.0460,0.067
0.242069,-0.0347,0.1425,-0.1089,0.183
0.242974,-0.0347,0.1425,-0.1089,0.183
0.262328,0.0104,0.2319,-0.0851,0.247
0.263619,0.0104,0.2319,-0.0851,0.247
0.285356,-0.0085,0.0589,0.0149,0.061
0.286768,-0.0085,0.0589,0.0149,0.061
0.302499,0.0341,-0.0349,-0.0180,0.052
0.304184,0.0341,-0.0349,-0.0180,0.052
0.330386,0.0136,0.0133,-0.1015,0.103
0.331846,0.0136,0.0133,-0.1015,0.103
0.341777,-0.0425,0.0467,-0.0950,0.114
0.343015,-0.0425,0.0467,-0.0950,0.114
0.362398,-0.0387,0.2153,-0.1320,0.256
0.364214,-0.0387,0.2153,-0.1320,0.256
0.382343,-0.0358,0.1900,-0.0007,0.193
0.383851,-0.0358,0.1900,-0.0007,0.193
0.403322,-0.0135,0.0020,-0.0038,0.014
0.404310,-0.0135,0.0020,-0.0038,0.014
0.433894,0.0414,-0.0344,0.0199,0.057
0.435415,0.0414,-0.0344,0.0199,0.057
0.442173,0.0404,0.0375,-0.0135,0.057
0.443258,0.0404,0.0375,-0.0135,0.057
0.463052,-0.0253,0.1730,-0.1539,0.233
0.464721,-0.0253,0.1730,-0.1539,0.233
0.482599,-0.0460,0.1630,-0.0637,0.181
0.484211,-0.0460,0.1630,-0.0637,0.181
0.502419,-0.0659,0.0521,0.0918,0.124
0.502950,-0.0659,0.0521,0.0918,0.124
0.531206,-0.0569,-0.0206,0.1147,0.130
0.533134,-0.0569,-0.0206,0.1147,0.130
0.542177,-0.0376,0.0751,0.0503,0.098
0.543373,-0.0376,0.0751,0.0503,0.098
0.563488,0.0026,0.1988,-0.1597,0.255
0.565259,0.0026,0.1988,-0.1597,0.255
0.582869,0.0452,0.1554,-0.0223,0.163
0.584563,0.0452,0.1554,-0.0223,0.163
0.602563,0.0695,0.0568,0.0364,0.097
0.604117,0.0695,0.0568,0.0364,0.097
0.635482,-0.0259,-0.0774,0.0835,0.117
0.637244,-0.0259,-0.0774,0.0835,0.117
0.642397,-0.1278,0.1138,0.1261,0.213
0.643636,-0.1278,0.1138,0.1261,0.213
0.663229,-0.0444,0.2173,0.0486,0.227
0.665541,-0.0444,0.2173,0.0486,0.227
0.682541,0.0630,0.0717,-0.0496,0.108
0.684090,0.0630,0.0717,-0.0496,0.108
0.702595,0.0382,-0.0759,0.0951,0.128
0.703750,0.0382,-0.0759,0.0951,0.128
0.737146,-0.0293,0.0483,0.0935,0.109
0.738993,-0.0293,0.0483,0.0935,0.109
0.742705,-0.0451,0.1376,0.1282,0.193
0.744043,-0.0451,0.1376,0.1282,0.193
0.764317,-0.0069,0.0592,0.0574,0.083
0.766359,-0.0069,0.0592,0.0574,0.083
0.782630,0.0861,-0.0261,-0.0797,0.120
0.784023,0.0861,-0.0261,-0.0797,0.120
0.802517,0.0319,-0.0114,-0.0028,0.034
0.803585,0.0319,-0.0114,-0.0028,0.034
0.829932,-0.0129,0.0697,0.0544,0.089
0.831560,-0.0129,0.0697,0.0544,0.089
0.842324,-0.0134,0.0817,0.0419,0.093
0.843583,-0.0134,0.0817,0.0419,0.093
0.863687,0.0481,0.0250,-0.0473,0.072
0.864622,0.0481,0.0250,-0.0473,0.072
0.882543,0.0961,-0.0244,-0.0233,0.102
0.884027,0.0961,-0.0244,-0.0233,0.102
0.902819,0.0229,0.0212,-0.0234,0.039
0.903992,0.0229,0.0212,-0.0234,0.039
0.923549,-0.0016,0.0714,0.0059,0.072
0.924975,-0.0016,0.0714,0.0059,0.072
0.942359,-0.0031,0.0902,-0.0920,0.129
0.944303,-0.0031,0.0902,-0.0920,0.129
0.962363,-0.0371,0.1719,0.0230,0.177
0.964859,-0.0371,0.1719,0.0230,0.177
0.983022,-0.0575,0.0231,0.1631,0.175
0.984554,-0.0575,0.0231,0.1631,0.175
1.002185,-0.0902,-0.0168,-0.0678,0.114
1.002936,-0.0902,-0.0168,-0.0678,0.114
1.026740,-0.0940,0.0593,0.0869,0.141
