time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.008424,0.3065,0.1193,-1.2351,1.278
0.009953,0.3065,0.1193,-1.2351,1.278
0.011179,-0.0376,0.0841,0.8359,0.841
0.012340,-0.0376,0.0841,0.8359,0.841
0.031205,-0.0361,0.0776,0.4226,0.431
0.032275,-0.0361,0.0776,0.4226,0.431
0.050975,0.0449,0.0606,-0.2551,0.266
0.052241,0.0449,0.0606,-0.2551,0.266
0.071714,0.0618,-0.0127,-0.0655,0.091
0.076530,0.0618,-0.0127,-0.0655,0.091
0.092146,0.0732,0.0967,0.0519,0.132
0.093112,0.0732,0.0967,0.0519,0.132
0.114745,-0.0412,0.1091,0.1752,0.210
0.116166,-0.0412,0.1091,0.1752,0.210
0.131434,-0.0303,-0.0292,-0.0026,0.042
0.132331,-0.0303,-0.0292,-0.0026,0.042
0.157230,0.0648,0.0125,0.1169,0.134
0.158634,0.0648,0.0125,0.1169,0.134
0.171098,0.0075,0.0735,-0.0047,0.074
0.172415,0.0075,0.0735,-0.0047,0.074
0.196892,0.0114,0.1144,-0.0967,0.150
0.198210,0.0114,0.1144,-0.0967,0.150
0.211563,-0.0024,0.0595,0.0267,0.065
0.212838,-0.0024,0.0595,0.0267,0.065
0.231015,-0.0390,0.0770,0.0635,0.107
0.232330,-0.0390,0.0770,0.0635,0.107
0.258609,-0.0063,0.0484,0.1073,0.118
0.260635,-0.0063,0.0484,0.1073,0.118
0.280313,0.0256,-0.0088,0.0351,0.044
0.281631,0.0256,-0.0088,0.0351,0.044
0.292583,0.1001,-0.0344,-0.0321,0.111
0.294183,0.1001,-0.0344,-0.0321,0.111
0.312027,0.0200,0.0374,0.0545,0.069
0.314049,0.0200,0.0374,0.0545,0.069
0.331421,-0.0771,0.0536,0.0133,0.095
0.332460,-0.0771,0.0536,0.0133,0.095
0.350784,-0.0920,0.1152,0.0167,0.148
0.352624,-0.0920,0.1152,0.0167,0.148
0.372300,-0.0462,0.0359,-0.0038,0.059
0.373817,-0.0462,0.0359,-0.0038,0.059
0.392217,-0.0304,-0.0470,0.0585,0.081
0.394240,-0.0304,-0.0470,0.0585,0.081
0.419114,0.0182,-0.0085,0.0804,0.083
0.421853,0.0182,-0.0085,0.0804,0.083
0.431262,0.0289,0.1238,-0.0444,0.135
0.432285,0.0289,0.1238,-0.0444,0.135
0.455371,0.0654,0.1476,0.0361,0.165
0.456990,0.0654,0.1476,0.0361,0.165
0.471487,0.1214,0.1565,-0.0498,0.204
0.473029,0.1214,0.1565,-0.0498,0.204
0.491265,0.1199,0.0411,-0.1850,0.224
0.492785,0.1199,0.0411,-0.1850,0.224
0.511230,-0.0760,0.0262,-0.1291,0.152
0.512818,-0.0760,0.0262,-0.1291,0.152
0.531316,-0.0969,0.1586,-0.1385,0.232
0.532858,-0.0969,0.1586,-0.1385,0.232
0.556660,0.0208,0.0707,-0.1135,0.135
0.558110,0.0208,0.0707,-0.1135,0.135
0.571126,0.1128,0.0327,-0.2914,0.314
0.572005,0.1128,0.0327,-0.2914,0.314
0.591858,0.1319,0.1440,-0.1364,0.238
0.593633,0.1319,0.1440,-0.1364,0.238
0.611540,0.0900,0.1102,-0.1764,0.227
0.612712,0.0900,0.1102,-0.1764,0.227
0.631554,0.1572,0.0683,-0.2741,0.323
0.632881,0.1572,0.0683,-0.2741,0.323
0.650905,0.0511,0.0230,-0.2335,0.240
0.652726,0.0511,0.0230,-0.2335,0.240
0.671823,0.0835,0.0636,-0.1814,0.210
0.673591,0.0835,0.0636,-0.1814,0.210
0.692498,0.2350,0.0496,-0.0362,0.243
0.694523,0.2350,0.0496,-0.0362,0.243
0.710938,0.2085,0.0906,-0.2081,0.308
0.712416,0.2085,0.0906,-0.2081,0.308
0.732319,-0.0500,0.0907,-0.1097,0.151
0.733682,-0.0500,0.0907,-0.1097,0.151
0.759216,0.0078,0.0769,0.0782,0.110
0.763048,0.0078,0.0769,0.0782,0.110
0.773701,0.1907,0.0474,-0.0399,0.200
0.777490,0.1907,0.0474,-0.0399,0.200
0.791375,0.1658,0.0772,-0.1319,0.225
0.793089,0.1658,0.0772,-0.1319,0.225
0.810718,0.1100,0.1020,-0.1543,0.215
0.811788,0.1100,0.1020,-0.1543,0.215
0.831838,-0.0669,0.0462,0.0975,0.127
0.833262,-0.0669,0.0462,0.0975,0.127
0.851214,-0.0454,0.0557,0.0316,0.079
0.852980,-0.0454,0.0557,0.0316,0.079
0.871069,0.0428,0.0216,0.0224,0.053
0.872668,0.0428,0.0216,0.0224,0.053
0.890668,0.0222,-0.0354,0.0224,0.047
0.892475,0.0222,-0.0354,0.0224,0.047
0.910683,0.0560,0.2516,-0.0729,0.268
0.912359,0.0560,0.2516,-0.0729,0.268
0.931170,0.1211,0.1435,0.0002,0.188
