time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.006507,-0.3916,-0.0751,-0.2458,0.468
0.007885,-0.3916,-0.0751,-0.2458,0.468
0.016520,0.2175,-0.2531,-0.0497,0.337
0.019026,0.2175,-0.2531,-0.0497,0.337
0.047988,-0.0178,-0.0738,0.1073,0.131
0.049524,-0.0178,-0.0738,0.1073,0.131
0.059807,-0.0245,0.1424,-0.0599,0.156
0.062052,-0.0245,0.1424,-0.0599,0.156
0.075579,0.1355,0.2422,0.0879,0.291
0.076427,0.1355,0.2422,0.0879,0.291
0.097246,-0.0056,0.1422,-0.3259,0.356
0.098429,-0.0056,0.1422,-0.3259,0.356
0.115847,-0.2049,-0.1330,-0.0116,0.245
0.116544,-0.2049,-0.1330,-0.0116,0.245
0.140204,-0.1034,-0.0272,0.1843,0.213
0.141425,-0.1034,-0.0272,0.1843,0.213
0.156182,0.1080,-0.2653,0.1855,0.341
0.157303,0.1080,-0.2653,0.1855,0.341
0.175894,0.3308,-0.3490,0.1925,0.518
0.176753,0.3308,-0.3490,0.1925,0.518
0.207463,0.5065,-0.6021,0.1768,0.806
0.209119,0.5065,-0.6021,0.1768,0.806
0.220690,0.0395,-0.5351,0.0699,0.541
0.222091,0.0395,-0.5351,0.0699,0.541
0.238810,0.4139,-0.4703,-0.0394,0.628
0.239975,0.4139,-0.4703,-0.0394,0.628
0.256180,0.0966,-0.2142,0.2031,0.311
0.257746,0.0966,-0.2142,0.2031,0.311
0.275625,-0.1192,-0.1505,-0.0766,0.207
0.277163,-0.1192,-0.1505,-0.0766,0.207
0.295860,0.0306,0.0030,-0.0081,0.032
0.298152,0.0306,0.0030,-0.0081,0.032
0.318690,-0.0172,0.3820,0.2481,0.456
0.320218,-0.0172,0.3820,0.2481,0.456
0.339087,-0.1303,0.6114,0.1492,0.643
0.340292,-0.1303,0.6114,0.1492,0.643
0.355376,0.2965,0.3664,0.2798,0.548
0.356999,0.2965,0.3664,0.2798,0.548
0.375547,-0.0154,0.1860,0.0029,0.187
0.379249,-0.0154,0.1860,0.0029,0.187
0.397135,-0.4312,0.1217,-0.7558,0.879
0.398835,-0.4312,0.1217,-0.7558,0.879
0.416271,-0.2596,0.0347,0.4754,0.543
0.417763,-0.2596,0.0347,0.4754,0.543
0.435570,-0.3039,-0.2712,-0.0063,0.407
0.437270,-0.3039,-0.2712,-0.0063,0.407
0.455698,-0.1715,-0.4367,-0.1674,0.498
0.456753,-0.1715,-0.4367,-0.1674,0.498
0.475345,-0.6823,-0.5736,-0.0189,0.892
0.478959,-0.6823,-0.5736,-0.0189,0.892
0.497474,-1.8030,-0.3704,-0.0918,1.843
0.499226,-1.8030,-0.3704,-0.0918,1.843
0.515764,-0.7359,0.5613,-1.7053,1.940
0.517167,-0.7359,0.5613,-1.7053,1.940
0.535566,0.3185,1.2496,0.7354,1.484
0.537189,0.3185,1.2496,0.7354,1.484
0.555351,0.1074,1.4906,0.5573,1.595
0.556599,0.1074,1.4906,0.5573,1.595
0.575894,0.1256,0.7822,-0.0661,0.795
0.577734,0.1256,0.7822,-0.0661,0.795
0.597448,0.0816,-0.0281,0.1128,0.142
0.598866,0.0816,-0.0281,0.1128,0.142
0.615236,-0.1954,-0.5892,-0.0256,0.621
0.616693,-0.1954,-0.5892,-0.0256,0.621
0.635164,0.0336,-1.1314,0.1558,1.143
0.636463,0.0336,-1.1314,0.1558,1.143
0.656069,0.5384,-1.0715,-0.2969,1.235
0.657348,0.5384,-1.0715,-0.2969,1.235
0.675578,-0.0982,-0.4126,-0.8512,0.951
0.677615,-0.0982,-0.4126,-0.8512,0.951
0.695544,-0.1948,0.1059,-0.8268,0.856
0.696781,-0.1948,0.1059,-0.8268,0.856
0.715408,-0.3718,0.6568,-0.0592,0.757
0.716588,-0.3718,0.6568,-0.0592,0.757
0.734713,-0.3382,1.0115,-0.5654,1.207
0.735686,-0.3382,1.0115,-0.5654,1.207
0.756865,0.4989,0.3194,-0.3269,0.677
0.758366,0.4989,0.3194,-0.3269,0.677
0.775627,0.4590,-0.0912,-0.1859,0.503
