time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.008805,-0.5414,-1.0588,0.4254,1.263
0.010218,-0.5414,-1.0588,0.4254,1.263
0.010950,-0.1126,-1.4413,0.5618,1.551
0.011821,-0.1126,-1.4413,0.5618,1.551
0.027194,0.0165,-0.8774,0.2973,0.927
0.028428,0.0165,-0.8774,0.2973,0.927
0.044859,-0.1560,-0.0735,0.0179,0.173
0.046537,-0.1560,-0.0735,0.0179,0.173
0.080293,-0.0903,0.3242,-0.0231,0.337
0.084106,-0.0903,0.3242,-0.0231,0.337
0.095163,0.2109,-0.1453,0.0802,0.268
0.096399,0.2109,-0.1453,0.0802,0.268
0.111124,0.4902,-0.6311,0.0247,0.800
0.112590,0.4902,-0.6311,0.0247,0.800
0.123161,0.3148,-0.4773,0.1877,0.602
0.124240,0.3148,-0.4773,0.1877,0.602
0.153284,0.1396,-0.1242,0.3213,0.372
0.154135,0.1396,-0.1242,0.3213,0.372
0.163465,0.3147,-0.0604,0.0938,0.334
0.164372,0.3147,-0.0604,0.0938,0.334
0.184346,0.6017,-0.2670,-0.0211,0.659
0.185595,0.6017,-0.2670,-0.0211,0.659
0.202898,0.7659,-0.2239,-0.0630,0.800
0.203925,0.7659,-0.2239,-0.0630,0.800
0.232508,0.5914,0.2673,0.0342,0.650
0.234069,0.5914,0.2673,0.0342,0.650
0.251057,0.5319,0.8587,-0.3411,1.066
0.252384,0.5319,0.8587,-0.3411,1.066
0.267323,0.4672,1.3322,0.4185,1.472
0.268469,0.4672,1.3322,0.4185,1.472
0.283256,0.4360,1.6475,0.0410,1.705
0.284854,0.4360,1.6475,0.0410,1.705
0.310759,0.0701,1.5986,0.4482,1.662
0.311574,0.0701,1.5986,0.4482,1.662
0.322796,0.0843,1.2737,0.0014,1.277
0.323984,0.0843,1.2737,0.0014,1.277
0.345722,0.0609,0.7951,0.2985,0.851
0.348528,0.0609,0.7951,0.2985,0.851
0.362850,-0.2546,-0.1236,0.5292,0.600
0.364408,-0.2546,-0.1236,0.5292,0.600
0.383738,-0.2200,-0.8706,0.4877,1.022
0.385798,-0.2200,-0.8706,0.4877,1.022
0.410318,-0.2404,-0.6129,0.2391,0.700
0.413028,-0.2404,-0.6129,0.2391,0.700
0.422921,-0.2398,-0.1861,-0.3541,0.466
0.423940,-0.2398,-0.1861,-0.3541,0.466
0.442466,-0.3487,0.1490,-0.7775,0.865
0.443342,-0.3487,0.1490,-0.7775,0.865
0.465449,-0.3788,0.2117,-0.3531,0.559
0.466701,-0.3788,0.2117,-0.3531,0.559
0.484172,-0.0485,0.1816,0.0160,0.189
0.485621,-0.0485,0.1816,0.0160,0.189
0.503489,0.1025,0.2192,0.2080,0.319
0.505272,0.1025,0.2192,0.2080,0.319
0.522931,0.1946,0.0473,-0.2355,0.309
0.523996,0.1946,0.0473,-0.2355,0.309
0.543720,0.0422,0.5063,-0.9880,1.111
0.545742,0.0422,0.5063,-0.9880,1.111
0.564059,-0.6255,1.2689,0.1877,1.427
0.566180,-0.6255,1.2689,0.1877,1.427
0.583127,2.6502,1.9619,0.2065,3.304
0.584864,2.6502,1.9619,0.2065,3.304
0.602980,3.0210,1.8624,0.9255,3.668
0.606201,3.0210,1.8624,0.9255,3.668
0.624018,1.5289,2.1405,-0.0109,2.630
0.625903,1.5289,2.1405,-0.0109,2.630
0.642848,0.1075,2.5522,-0.8547,2.694
0.644654,0.1075,2.5522,-0.8547,2.694
0.664329,-0.9835,2.9661,-1.1825,3.341
0.665611,-0.9835,2.9661,-1.1825,3.341
0.682430,-0.1441,3.1706,-2.2824,3.909
0.684718,-0.1441,3.1706,-2.2824,3.909
0.706982,-0.6013,3.0801,-2.2221,3.845
0.709169,-0.6013,3.0801,-2.2221,3.845
0.733076,-1.9250,2.8742,-0.0699,3.460
0.735125,-1.9250,2.8742,-0.0699,3.460
0.744169,-2.1445,1.3076,-0.7919,2.634
0.747838,-2.1445,1.3076,-0.7919,2.634
0.772765,-1.7310,-0.2149,-2.8301,3.324
0.774739,-1.7310,-0.2149,-2.8301,3.324
0.788368,-0.8900,-1.1445,-2.0220,2.488
0.790009,-0.8900,-1.1445,-2.0220,2.488
0.802378,-1.6182,-1.2020,-1.5451,2.540
0.803310,-1.6182,-1.2020,-1.5451,2.540
0.823521,-1.5197,-1.2477,-1.4276,2.430
0.826388,-1.5197,-1.2477,-1.4276,2.430
0.842379,0.2616,-0.8703,-0.8780,1.264
0.844255,0.2616,-0.8703,-0.8780,1.264
0.863543,0.1516,-0.2520,-0.0436,0.297
0.864736,0.1516,-0.2520,-0.0436,0.297
0.883269,-0.2805,-0.0511,0.0055,0.285
0.885083,-0.2805,-0.0511,0.0055,0.285
0.902760,-0.2879,-0.3159,-0.1710,0.460
0.904181,-0.2879,-0.3159,-0.1710,0.460
0.922429,-0.2756,-0.7199,1.2543,1.472
0.923962,-0.2756,-0.7199,1.2543,1.472
0.948946,-0.2689,-1.5273,0.4571,1.617
0.951018,-0.2689,-1.5273,0.4571,1.617
0.972351,-0.0475,-2.0574,0.8067,2.210
0.973925,-0.0475,-2.0574,0.8067,2.210
0.982208,0.4904,-2.4095,0.8502,2.602
0.984301,0.4904,-2.4095,0.8502,2.602
1.004492,0.5867,-2.4471,0.3716,2.544
1.006884,0.5867,-2.4471,0.3716,2.544
1.022330,0.9160,-2.2562,0.0451,2.435
1.026267,0.9160,-2.2562,0.0451,2.435
1.047415,0.4514,-1.5396,-0.1900,1.616
1.049103,0.4514,-1.5396,-0.1900,1.616
1.062226,0.2315,-0.8606,-0.0992,0.897
1.064170,0.2315,-0.8606,-0.0992,0.897
1.082338,1.0272,-0.2758,-0.2263,1.087
1.083655,1.0272,-0.2758,-0.2263,1.087
1.103782,1.3523,0.5421,-0.0672,1.459
1.105686,1.3523,0.5421,-0.0672,1.459
1.125745,-0.3231,1.4881,-0.5489,1.619
1.126886,-0.3231,1.4881,-0.5489,1.619
1.144849,-2.6500,2.2356,-0.9419,3.593
1.148060,-2.6500,2.2356,-0.9419,3.593
1.166707,-2.3473,2.7364,-0.8300,3.700
1.168616,-2.3473,2.7364,-0.8300,3.700
1.183006,-1.0876,2.4266,-1.1054,2.880
1.184877,-1.0876,2.4266,-1.1054,2.880
1.208232,1.1719,2.8682,-2.4665,3.960
1.211139,1.1719,2.8682,-2.4665,3.960
1.224546,1.0403,3.9547,-1.3673,4.312
1.226757,1.0403,3.9547,-1.3673,4.312
1.248479,-0.0391,4.1274,-2.9579,5.078
1.251895,-0.0391,4.1274,-2.9579,5.078
1.267928,0.2580,1.5454,-2.1360,2.649
1.269447,0.2580,1.5454,-2.1360,2.649
1.288176,2.4260,-2.5237,-2.9289,4.564
1.292142,2.4260,-2.5237,-2.9289,4.564
