time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.007405,-0.0180,0.0238,0.2561,0.258
0.008559,-0.0180,0.0238,0.2561,0.258
0.010223,0.0307,0.0325,0.0772,0.089
0.011461,0.0307,0.0325,0.0772,0.089
0.032380,0.0086,0.0241,0.1011,0.104
0.034636,0.0086,0.0241,0.1011,0.104
0.057769,-0.0098,0.0046,0.1767,0.177
0.059026,-0.0098,0.0046,0.1767,0.177
0.087908,-0.0300,0.0372,0.2122,0.217
0.088833,-0.0300,0.0372,0.2122,0.217
0.094233,0.0161,0.0112,0.0998,0.102
0.095286,0.0161,0.0112,0.0998,0.102
0.110041,0.1748,-0.0094,0.1119,0.208
0.111531,0.1748,-0.0094,0.1119,0.208
0.130354,-0.0047,0.0682,0.2315,0.241
0.131813,-0.0047,0.0682,0.2315,0.241
0.164605,-0.0250,0.0240,0.1729,0.176
0.165392,-0.0250,0.0240,0.1729,0.176
0.170634,0.0198,-0.0057,-0.0330,0.039
0.171410,0.0198,-0.0057,-0.0330,0.039
0.190272,0.0139,0.0482,0.2082,0.214
0.191667,0.0139,0.0482,0.2082,0.214
0.210480,0.0006,0.0853,0.2686,0.282
0.211849,0.0006,0.0853,0.2686,0.282
0.232232,0.1355,0.0296,0.1302,0.190
0.233826,0.1355,0.0296,0.1302,0.190
0.272713,0.0068,-0.0319,0.1766,0.180
0.274058,0.0068,-0.0319,0.1766,0.180
0.274728,-0.0553,-0.0420,0.1594,0.174
0.275323,-0.0553,-0.0420,0.1594,0.174
0.289773,-0.0280,-0.0064,0.1830,0.185
0.290703,-0.0280,-0.0064,0.1830,0.185
0.310145,0.0046,0.0062,0.1687,0.169
0.311359,0.0046,0.0062,0.1687,0.169
0.331240,0.0052,0.0248,0.1515,0.154
0.332937,0.0052,0.0248,0.1515,0.154
0.350608,0.0232,0.0136,0.1634,0.166
0.352517,0.0232,0.0136,0.1634,0.166
0.369360,0.0086,0.0207,0.1375,0.139
0.371211,0.0086,0.0207,0.1375,0.139
0.391343,0.0033,-0.0221,0.0175,0.028
0.392883,0.0033,-0.0221,0.0175,0.028
0.409723,-0.0254,0.0067,0.0156,0.030
0.410732,-0.0254,0.0067,0.0156,0.030
0.430023,0.0127,0.0466,0.2375,0.242
0.431266,0.0127,0.0466,0.2375,0.242
0.449793,0.0145,-0.0132,0.1054,0.107
0.451003,0.0145,-0.0132,0.1054,0.107
0.470234,0.0131,-0.0328,0.0263,0.044
0.472214,0.0131,-0.0328,0.0263,0.044
0.489576,-0.0459,-0.0064,0.2081,0.213
0.490821,-0.0459,-0.0064,0.2081,0.213
0.509849,0.0002,0.0583,0.2038,0.212
0.512680,0.0002,0.0583,0.2038,0.212
0.529955,0.0353,0.0437,0.2125,0.220
0.531181,0.0353,0.0437,0.2125,0.220
0.549184,0.0467,0.0509,0.1674,0.181
0.550730,0.0467,0.0509,0.1674,0.181
0.570251,0.0209,0.0231,0.1526,0.156
0.571551,0.0209,0.0231,0.1526,0.156
0.589639,-0.0220,0.0301,0.1270,0.132
0.590948,-0.0220,0.0301,0.1270,0.132
0.610393,-0.0068,0.0207,0.1223,0.124
0.612231,-0.0068,0.0207,0.1223,0.124
0.629569,0.0136,0.0520,0.1415,0.151
0.631276,0.0136,0.0520,0.1415,0.151
0.650285,-0.0171,0.0335,0.1396,0.145
