time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.009914,0.5716,-0.0085,-0.1973,0.605
0.011475,0.5716,-0.0085,-0.1973,0.605
0.013199,-0.2457,0.2673,0.3249,0.487
0.014722,-0.2457,0.2673,0.3249,0.487
0.032630,-0.3135,-0.0660,-0.1868,0.371
0.033583,-0.3135,-0.0660,-0.1868,0.371
0.060254,0.0166,-0.1530,-0.0476,0.161
0.061933,0.0166,-0.1530,-0.0476,0.161
0.087211,0.2530,-0.0520,0.2697,0.373
0.088934,0.2530,-0.0520,0.2697,0.373
0.089751,0.1525,0.0528,0.0388,0.166
0.090276,0.1525,0.0528,0.0388,0.166
0.110296,-0.0054,0.0132,-0.0237,0.028
0.111423,-0.0054,0.0132,-0.0237,0.028
0.128758,-0.0924,-0.0234,0.1014,0.139
0.129994,-0.0924,-0.0234,0.1014,0.139
0.149567,-0.0505,0.0047,0.0575,0.077
0.151222,-0.0505,0.0047,0.0575,0.077
0.173694,0.0792,0.0136,0.0913,0.122
0.175034,0.0792,0.0136,0.0913,0.122
0.189082,0.1136,0.0158,0.2078,0.237
0.190422,0.1136,0.0158,0.2078,0.237
0.216326,0.1019,0.0391,0.1624,0.196
0.217673,0.1019,0.0391,0.1624,0.196
0.235737,0.1071,0.0251,0.0596,0.125
0.237364,0.1071,0.0251,0.0596,0.125
0.248767,0.0627,0.0154,0.2252,0.234
0.250133,0.0627,0.0154,0.2252,0.234
0.268570,0.0171,0.0625,0.2036,0.214
0.269947,0.0171,0.0625,0.2036,0.214
0.288911,0.0345,0.0203,0.1828,0.187
0.290241,0.0345,0.0203,0.1828,0.187
0.309138,0.1132,-0.0047,0.1463,0.185
0.311096,0.1132,-0.0047,0.1463,0.185
0.330294,0.1160,-0.0156,0.0765,0.140
0.331943,0.1160,-0.0156,0.0765,0.140
0.348939,0.0727,-0.0252,0.0899,0.118
0.350808,0.0727,-0.0252,0.0899,0.118
0.368902,0.0329,-0.0120,0.2100,0.213
0.370373,0.0329,-0.0120,0.2100,0.213
0.389031,0.0562,0.0296,0.2462,0.254
0.390730,0.0562,0.0296,0.2462,0.254
0.410255,0.1241,0.0420,0.2312,0.266
0.411921,0.1241,0.0420,0.2312,0.266
0.428801,0.1038,0.0337,0.1121,0.156
0.429993,0.1038,0.0337,0.1121,0.156
0.456390,0.0942,0.0400,0.1383,0.172
0.458082,0.0942,0.0400,0.1383,0.172
0.469210,0.0557,0.0838,0.1526,0.183
0.470210,0.0557,0.0838,0.1526,0.183
0.490670,0.0198,0.0949,0.2941,0.310
0.492282,0.0198,0.0949,0.2941,0.310
0.512284,0.0588,0.0576,0.1365,0.159
0.514106,0.0588,0.0576,0.1365,0.159
0.529442,0.0658,0.0596,0.1040,0.137
0.531230,0.0658,0.0596,0.1040,0.137
0.549587,0.0479,0.0804,0.1544,0.181
0.551257,0.0479,0.0804,0.1544,0.181
0.569173,0.0506,0.0921,0.1719,0.202
0.570153,0.0506,0.0921,0.1719,0.202
0.588398,0.0561,0.0851,0.2015,0.226
0.589877,0.0561,0.0851,0.2015,0.226
0.609352,0.0362,0.0807,0.1752,0.196
0.610696,0.0362,0.0807,0.1752,0.196
0.632360,0.0234,0.0563,0.1430,0.155
0.634236,0.0234,0.0563,0.1430,0.155
0.649053,0.0245,0.0619,0.1509,0.165
0.650858,0.0245,0.0619,0.1509,0.165
0.669645,0.0322,0.0785,0.1589,0.180
0.671165,0.0322,0.0785,0.1589,0.180
0.688232,0.0270,0.0755,0.1550,0.175
0.689856,0.0270,0.0755,0.1550,0.175
0.722312,0.0007,0.0460,0.1091,0.118
0.724332,0.0007,0.0460,0.1091,0.118
0.729070,-0.0456,0.0705,0.1670,0.187
0.730101,-0.0456,0.0705,0.1670,0.187
0.761947,-0.0322,0.0556,0.1578,0.170
0.763904,-0.0322,0.0556,0.1578,0.170
0.768587,-0.0183,0.0741,0.1805,0.196
0.769435,-0.0183,0.0741,0.1805,0.196
0.791730,-0.0107,0.0642,0.1862,0.197
0.793216,-0.0107,0.0642,0.1862,0.197
0.810189,-0.0295,0.0333,0.2107,0.215
0.811858,-0.0295,0.0333,0.2107,0.215
0.828173,-0.0100,0.0261,0.2301,0.232
0.829285,-0.0100,0.0261,0.2301,0.232
0.848706,-0.0224,0.0259,0.2444,0.247
0.850215,-0.0224,0.0259,0.2444,0.247
0.869182,0.0219,0.0581,0.2186,0.227
0.870930,0.0219,0.0581,0.2186,0.227
0.888657,0.0129,0.0530,0.1759,0.184
0.890548,0.0129,0.0530,0.1759,0.184
0.907257,0.0352,0.0149,0.1542,0.159
0.909302,0.0352,0.0149,0.1542,0.159
0.928288,-0.0124,0.0131,0.1614,0.162
0.930001,-0.0124,0.0131,0.1614,0.162
0.947425,0.0052,0.0505,0.3177,0.322
0.949359,0.0052,0.0505,0.3177,0.322
0.967277,0.0272,0.1191,0.3680,0.388
0.969155,0.0272,0.1191,0.3680,0.388
0.987033,0.0732,0.0689,0.1104,0.149
0.989047,0.0732,0.0689,0.1104,0.149
1.007493,0.0450,0.0503,0.1779,0.190
1.009300,0.0450,0.0503,0.1779,0.190
1.026477,-0.0515,-0.0240,-0.0637,0.085
1.028237,-0.0515,-0.0240,-0.0637,0.085
1.047521,-0.1453,-0.0172,-0.1376,0.201
1.049924,-0.1453,-0.0172,-0.1376,0.201
1.068140,-0.0973,0.0021,0.1253,0.159
1.070099,-0.0973,0.0021,0.1253,0.159
1.086847,-0.1325,0.0503,0.2332,0.273
1.089332,-0.1325,0.0503,0.2332,0.273
1.106724,-0.1092,0.0656,0.1782,0.219
