time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.004763,0.2392,-0.0032,-0.1459,0.280
0.005602,0.2392,-0.0032,-0.1459,0.280
0.023369,-0.0368,0.2456,0.0740,0.259
0.024327,-0.0368,0.2456,0.0740,0.259
0.040437,-0.1239,0.3287,0.0126,0.351
0.041519,-0.1239,0.3287,0.0126,0.351
0.062833,-0.0346,0.0655,0.0301,0.080
0.064298,-0.0346,0.0655,0.0301,0.080
0.079362,0.1784,-0.1834,0.0099,0.256
0.080240,0.1784,-0.1834,0.0099,0.256
0.100437,0.1668,-0.0818,0.0485,0.192
0.101721,0.1668,-0.0818,0.0485,0.192
0.119360,0.0986,0.2061,-0.0050,0.229
0.120185,0.0986,0.2061,-0.0050,0.229
0.140541,-0.1621,0.1949,-0.0624,0.261
0.141425,-0.1621,0.1949,-0.0624,0.261
0.161291,-0.2376,0.0420,0.0065,0.241
0.162720,-0.2376,0.0420,0.0065,0.241
0.180329,-0.0840,0.0198,0.0883,0.123
0.181327,-0.0840,0.0198,0.0883,0.123
0.205277,0.0395,0.0608,0.0807,0.109
0.206742,0.0395,0.0608,0.0807,0.109
0.219296,0.0445,0.1297,0.0327,0.141
0.220141,0.0445,0.1297,0.0327,0.141
0.240145,-0.0922,0.1442,-0.0346,0.175
0.241191,-0.0922,0.1442,-0.0346,0.175
0.260616,-0.1000,0.0544,0.0852,0.142
0.261714,-0.1000,0.0544,0.0852,0.142
0.280571,-0.0016,0.0181,0.1428,0.144
0.281784,-0.0016,0.0181,0.1428,0.144
0.299557,-0.1272,-0.0150,0.0868,0.155
0.301169,-0.1272,-0.0150,0.0868,0.155
0.319796,-0.3347,0.0224,0.0050,0.336
0.321530,-0.3347,0.0224,0.0050,0.336
0.339403,-0.2913,0.2291,-0.0411,0.373
0.340504,-0.2913,0.2291,-0.0411,0.373
0.363036,0.1122,0.1300,-0.0136,0.172
0.364439,0.1122,0.1300,-0.0136,0.172
0.379764,0.0862,-0.0286,0.0708,0.115
0.380644,0.0862,-0.0286,0.0708,0.115
0.400115,-0.3521,-0.0628,-0.0218,0.358
0.401651,-0.3521,-0.0628,-0.0218,0.358
0.419347,-0.6448,0.1902,-0.1232,0.683
0.421433,-0.6448,0.1902,-0.1232,0.683
0.438876,-0.1536,0.3635,-0.2194,0.451
0.439686,-0.1536,0.3635,-0.2194,0.451
0.460368,0.4024,0.2870,-0.1665,0.522
0.461911,0.4024,0.2870,-0.1665,0.522
0.480428,0.4738,-0.0083,-0.0890,0.482
0.481694,0.4738,-0.0083,-0.0890,0.482
0.499215,0.2088,-0.0814,0.1742,0.284
0.500580,0.2088,-0.0814,0.1742,0.284
0.519607,0.0203,0.0084,0.2202,0.221
0.521187,0.0203,0.0084,0.2202,0.221
0.540162,-0.0010,0.0135,0.3378,0.338
0.541581,-0.0010,0.0135,0.3378,0.338
0.563120,-0.0676,-0.0134,0.2426,0.252
0.564466,-0.0676,-0.0134,0.2426,0.252
0.579529,-0.0621,0.0994,0.1185,0.167
0.580467,-0.0621,0.0994,0.1185,0.167
0.599321,-0.0585,0.0579,-0.2022,0.218
0.600694,-0.0585,0.0579,-0.2022,0.218
0.619170,-0.2256,0.1386,-0.1085,0.286
0.620372,-0.2256,0.1386,-0.1085,0.286
0.639293,-0.1553,0.0277,0.0719,0.173
0.640622,-0.1553,0.0277,0.0719,0.173
0.662170,-0.1459,-0.0188,0.0166,0.148
0.663777,-0.1459,-0.0188,0.0166,0.148
0.680120,-0.0788,0.0503,-0.0335,0.099
0.681649,-0.0788,0.0503,-0.0335,0.099
0.699094,0.0577,0.1618,0.1581,0.233
0.700136,0.0577,0.1618,0.1581,0.233
0.719104,0.0655,0.1151,0.1616,0.209
0.720325,0.0655,0.1151,0.1616,0.209
0.739438,-0.0360,0.0447,0.1449,0.156
0.740658,-0.0360,0.0447,0.1449,0.156
0.761481,0.0066,0.0071,0.0745,0.075
0.762869,0.0066,0.0071,0.0745,0.075
0.779222,0.0139,0.0956,-0.0355,0.103
0.780575,0.0139,0.0956,-0.0355,0.103
0.799115,-0.0120,0.1227,-0.0838,0.149
0.800233,-0.0120,0.1227,-0.0838,0.149
0.819295,-0.0108,0.0878,-0.1037,0.136
0.819990,-0.0108,0.0878,-0.1037,0.136
0.839798,-0.0221,0.0373,-0.0572,0.072
0.840817,-0.0221,0.0373,-0.0572,0.072
0.859087,0.0054,0.0918,-0.2033,0.223
0.860362,0.0054,0.0918,-0.2033,0.223
0.882702,-0.0236,0.1306,0.0345,0.137
0.884303,-0.0236,0.1306,0.0345,0.137
0.899225,0.0773,0.0335,-0.0542,0.100
0.900609,0.0773,0.0335,-0.0542,0.100
0.919430,-0.1334,0.1131,0.1661,0.241
0.921013,-0.1334,0.1131,0.1661,0.241
0.939008,-0.1510,0.1670,-0.0036,0.225
0.939980,-0.1510,0.1670,-0.0036,0.225
0.958407,0.0387,0.1338,0.0237,0.141
0.959585,0.0387,0.1338,0.0237,0.141
0.978660,0.1139,0.0723,-0.0733,0.154
0.979756,0.1139,0.0723,-0.0733,0.154
0.999247,-0.0142,0.1014,-0.0017,0.102
1.000547,-0.0142,0.1014,-0.0017,0.102
1.018819,-0.1275,0.0987,-0.0492,0.169
1.020066,-0.1275,0.0987,-0.0492,0.169
1.039093,-0.1003,0.1040,-0.0651,0.158
1.039919,-0.1003,0.1040,-0.0651,0.158
1.058565,0.1205,0.0951,-0.0607,0.165
1.060264,0.1205,0.0951,-0.0607,0.165
1.079155,0.0949,0.0286,-0.0772,0.126
1.080966,0.0949,0.0286,-0.0772,0.126
1.099259,-0.1007,0.1156,-0.0360,0.157
1.100443,-0.1007,0.1156,-0.0360,0.157
1.119425,-0.1694,0.2136,-0.0284,0.274
1.121025,-0.1694,0.2136,-0.0284,0.274
1.138490,0.1129,0.0549,0.0071,0.126
1.139599,0.1129,0.0549,0.0071,0.126
1.159506,-0.0552,0.0995,-0.0482,0.124
1.161082,-0.0552,0.0995,-0.0482,0.124
1.179389,-0.1069,0.2092,-0.0100,0.235
1.180823,-0.1069,0.2092,-0.0100,0.235
1.199131,0.3179,-0.0759,-0.0307,0.328
1.200504,0.3179,-0.0759,-0.0307,0.328
1.219048,0.0597,0.0148,-0.0824,0.103
1.220564,0.0597,0.0148,-0.0824,0.103
1.239226,-0.1841,0.1756,-0.0044,0.254
1.240275,-0.1841,0.1756,-0.0044,0.254
1.258731,-0.0823,0.1648,0.0118,0.185
1.260226,-0.0823,0.1648,0.0118,0.185
1.279428,-0.0180,0.0797,-0.0167,0.083
1.281122,-0.0180,0.0797,-0.0167,0.083
1.299207,0.1591,0.0528,-0.0474,0.174
1.300581,0.1591,0.0528,-0.0474,0.174
1.319456,0.2106,-0.0193,-0.0019,0.212
1.320958,0.2106,-0.0193,-0.0019,0.212
1.338926,-0.1154,0.1581,0.0849,0.213
1.340041,-0.1154,0.1581,0.0849,0.213
1.359312,-0.1817,0.1013,0.0975,0.230
1.360902,-0.1817,0.1013,0.0975,0.230
1.379285,-0.0831,0.1011,0.1465,0.196
1.380863,-0.0831,0.1011,0.1465,0.196
1.399210,0.1352,0.1339,-0.0870,0.209
1.400663,0.1352,0.1339,-0.0870,0.209
1.420025,0.2361,-0.0428,-0.1736,0.296
1.421784,0.2361,-0.0428,-0.1736,0.296
1.438343,-0.0772,0.0875,-0.0122,0.117
1.439542,-0.0772,0.0875,-0.0122,0.117
1.459146,-0.0741,0.0796,0.0658,0.127
1.460808,-0.0741,0.0796,0.0658,0.127
1.479257,-0.0679,0.1823,-0.0377,0.198
1.480829,-0.0679,0.1823,-0.0377,0.198
1.499254,0.0731,0.0699,-0.0159,0.102
1.500657,0.0731,0.0699,-0.0159,0.102
1.519254,0.1734,0.0457,0.0662,0.191
1.520719,0.1734,0.0457,0.0662,0.191
1.538643,0.0215,0.0579,0.0258,0.067
