time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003610,0.3051,0.0884,-0.2992,0.436
0.004379,0.3051,0.0884,-0.2992,0.436
0.015933,0.0673,0.1474,0.0645,0.174
0.017122,0.0673,0.1474,0.0645,0.174
0.033442,-0.0883,0.0990,0.0539,0.143
0.034687,-0.0883,0.0990,0.0539,0.143
0.053126,-0.0965,0.1554,0.0391,0.187
0.053987,-0.0965,0.1554,0.0391,0.187
0.074609,0.0282,0.0875,0.0797,0.122
0.076053,0.0282,0.0875,0.0797,0.122
0.094259,0.0818,0.0799,-0.2115,0.240
0.095742,0.0818,0.0799,-0.2115,0.240
0.114035,0.0607,0.1541,0.0996,0.193
0.115384,0.0607,0.1541,0.0996,0.193
0.133900,0.0858,0.0927,-0.1678,0.210
0.135374,0.0858,0.0927,-0.1678,0.210
0.153608,-0.0052,0.1168,0.1257,0.172
0.154807,-0.0052,0.1168,0.1257,0.172
0.173900,-0.1018,0.0923,0.0629,0.151
0.175483,-0.1018,0.0923,0.0629,0.151
0.194338,-0.0286,0.1176,0.0769,0.143
0.195402,-0.0286,0.1176,0.0769,0.143
0.213608,0.0825,0.1085,0.0278,0.139
0.214711,0.0825,0.1085,0.0278,0.139
0.233698,0.0653,0.0802,0.0026,0.103
0.234696,0.0653,0.0802,0.0026,0.103
0.258407,0.0066,0.1458,0.1004,0.177
0.259651,0.0066,0.1458,0.1004,0.177
0.274046,0.0092,0.1080,0.0552,0.122
0.276378,0.0092,0.1080,0.0552,0.122
0.293771,0.0402,0.0486,0.1158,0.132
0.295171,0.0402,0.0486,0.1158,0.132
0.313836,-0.0198,0.0684,0.0315,0.078
0.315711,-0.0198,0.0684,0.0315,0.078
0.333958,-0.0218,0.1978,-0.0388,0.203
0.335601,-0.0218,0.1978,-0.0388,0.203
0.360265,0.0476,0.1957,0.0122,0.202
0.361640,0.0476,0.1957,0.0122,0.202
0.373747,0.1398,0.0450,0.1153,0.187
0.374784,0.1398,0.0450,0.1153,0.187
0.395540,-0.0847,0.0244,0.1421,0.167
0.396786,-0.0847,0.0244,0.1421,0.167
0.413764,-0.2687,0.1383,0.0777,0.312
0.415645,-0.2687,0.1383,0.0777,0.312
0.433519,-0.0673,0.2266,-0.0316,0.238
0.435027,-0.0673,0.2266,-0.0316,0.238
0.453603,0.2121,0.0903,-0.0168,0.231
0.455150,0.2121,0.0903,-0.0168,0.231
0.473429,0.2036,-0.0169,0.0716,0.216
0.474146,0.2036,-0.0169,0.0716,0.216
0.493289,-0.0332,0.0734,0.0723,0.108
0.494557,-0.0332,0.0734,0.0723,0.108
0.513265,-0.2787,0.1961,0.0076,0.341
0.514559,-0.2787,0.1961,0.0076,0.341
0.534029,-0.2459,0.2330,-0.0374,0.341
0.536008,-0.2459,0.2330,-0.0374,0.341
0.554018,0.0608,0.1982,-0.0483,0.213
0.555923,0.0608,0.1982,-0.0483,0.213
0.573538,0.3678,0.0104,-0.0263,0.369
0.574607,0.3678,0.0104,-0.0263,0.369
0.593507,0.2417,0.0911,-0.2330,0.348
0.595410,0.2417,0.0911,-0.2330,0.348
0.613496,-0.0606,0.1227,0.2877,0.319
0.614894,-0.0606,0.1227,0.2877,0.319
0.633740,-0.0621,0.1214,0.1177,0.180
0.635924,-0.0621,0.1214,0.1177,0.180
0.653798,0.3107,-0.0538,0.0055,0.315
0.657576,0.3107,-0.0538,0.0055,0.315
0.673587,0.2725,-0.0113,-0.0899,0.287
0.674725,0.2725,-0.0113,-0.0899,0.287
0.693722,0.0227,0.0345,-0.0167,0.045
0.695631,0.0227,0.0345,-0.0167,0.045
0.714212,-0.2419,0.1952,-0.0045,0.311
0.716237,-0.2419,0.1952,-0.0045,0.311
0.733982,-0.1965,0.2034,-0.1650,0.327
0.735863,-0.1965,0.2034,-0.1650,0.327
0.754357,-0.3185,0.2706,-0.3291,0.532
0.756168,-0.3185,0.2706,-0.3291,0.532
0.773981,-0.3256,0.2552,-0.3414,0.536
0.775098,-0.3256,0.2552,-0.3414,0.536
0.793474,-0.1702,0.2128,-0.0769,0.283
0.795749,-0.1702,0.2128,-0.0769,0.283
0.813757,0.0616,0.1582,-0.1022,0.198
0.814694,0.0616,0.1582,-0.1022,0.198
0.834766,0.1251,0.0624,-0.1962,0.241
0.835906,0.1251,0.0624,-0.1962,0.241
0.853469,-0.0536,0.0550,0.0192,0.079
0.856047,-0.0536,0.0550,0.0192,0.079
0.873858,0.0003,0.1003,0.1801,0.206
0.874887,0.0003,0.1003,0.1801,0.206
0.893856,0.0268,0.1855,0.1502,0.240
0.895181,0.0268,0.1855,0.1502,0.240
0.913639,0.0667,0.1344,0.0792,0.170
0.915030,0.0667,0.1344,0.0792,0.170
0.934634,-0.1367,0.0391,0.0703,0.159
0.936145,-0.1367,0.0391,0.0703,0.159
0.954790,-0.4487,0.0866,-0.0835,0.465
0.956221,-0.4487,0.0866,-0.0835,0.465
0.974012,-0.1836,0.1441,0.0772,0.246
0.975104,-0.1836,0.1441,0.0772,0.246
0.993945,0.1596,0.0775,-0.0737,0.192
0.995257,0.1596,0.0775,-0.0737,0.192
1.013733,0.0081,0.1267,0.0220,0.129
1.015090,0.0081,0.1267,0.0220,0.129
1.034559,-0.1073,0.1594,-0.0109,0.192
1.035896,-0.1073,0.1594,-0.0109,0.192
1.053531,-0.0699,0.2389,0.2280,0.338
1.057052,-0.0699,0.2389,0.2280,0.338
1.073561,0.0978,0.1526,0.2091,0.277
1.074969,0.0978,0.1526,0.2091,0.277
1.093899,0.0913,0.1037,0.1985,0.242
