time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.004898,0.0441,0.0038,0.3488,0.352
0.005778,0.0441,0.0038,0.3488,0.352
0.025283,0.1095,0.0008,-0.0006,0.110
0.026514,0.1095,0.0008,-0.0006,0.110
0.044472,0.0489,0.1335,0.0784,0.162
0.045626,0.0489,0.1335,0.0784,0.162
0.067368,0.1680,0.1599,-0.0969,0.251
0.069062,0.1680,0.1599,-0.0969,0.251
0.086840,0.1817,-0.0556,0.0735,0.204
0.087853,0.1817,-0.0556,0.0735,0.204
0.105225,0.0148,-0.2080,0.1470,0.255
0.106441,0.0148,-0.2080,0.1470,0.255
0.124363,-0.2434,-0.1758,0.0452,0.304
0.125385,-0.2434,-0.1758,0.0452,0.304
0.144490,-0.3429,0.0722,0.0395,0.353
0.145660,-0.3429,0.0722,0.0395,0.353
0.175962,-0.3103,-0.0177,0.0010,0.311
0.177192,-0.3103,-0.0177,0.0010,0.311
0.184310,-0.5098,-0.2033,-0.3084,0.630
0.185434,-0.5098,-0.2033,-0.3084,0.630
0.204020,-0.8769,-0.3653,-0.2024,0.971
0.204945,-0.8769,-0.3653,-0.2024,0.971
0.223361,-0.9491,-0.1761,-0.3362,1.022
0.225072,-0.9491,-0.1761,-0.3362,1.022
0.244389,-0.4616,0.0599,0.0582,0.469
0.245584,-0.4616,0.0599,0.0582,0.469
0.267106,-0.3014,0.2400,-0.2687,0.470
0.267973,-0.3014,0.2400,-0.2687,0.470
0.283629,-0.0997,0.2087,0.2108,0.313
0.285006,-0.0997,0.2087,0.2108,0.313
0.307303,-0.0708,0.2460,0.2526,0.360
0.308547,-0.0708,0.2460,0.2526,0.360
0.323657,-0.1595,0.4546,-0.0587,0.485
0.325013,-0.1595,0.4546,-0.0587,0.485
0.345674,0.0882,0.6278,0.3502,0.724
0.347269,0.0882,0.6278,0.3502,0.724
0.365199,0.3963,0.4480,0.0982,0.606
0.366698,0.3963,0.4480,0.0982,0.606
0.383842,0.5827,-0.0711,-0.0996,0.595
0.385545,0.5827,-0.0711,-0.0996,0.595
0.403424,-0.3477,-0.0775,0.1545,0.388
0.405639,-0.3477,-0.0775,0.1545,0.388
0.423519,-0.2488,-0.5709,-0.3951,0.737
0.425388,-0.2488,-0.5709,-0.3951,0.737
0.443982,-0.4745,-0.2149,-0.0054,0.521
0.445053,-0.4745,-0.2149,-0.0054,0.521
0.480318,0.0130,0.2279,-0.0021,0.228
0.481809,0.0130,0.2279,-0.0021,0.228
0.489420,-0.1216,0.2625,-0.0155,0.290
0.490804,-0.1216,0.2625,-0.0155,0.290
0.503621,0.4982,0.2400,-0.0842,0.559
0.505238,0.4982,0.2400,-0.0842,0.559
0.524078,0.0567,0.2932,-0.4299,0.523
0.525592,0.0567,0.2932,-0.4299,0.523
0.543955,0.1535,0.3411,-0.0994,0.387
0.545350,0.1535,0.3411,-0.0994,0.387
0.563808,0.3659,0.4055,-0.0668,0.550
0.564935,0.3659,0.4055,-0.0668,0.550
0.583295,0.3053,-0.0020,-0.2394,0.388
0.583965,0.3053,-0.0020,-0.2394,0.388
0.607312,0.3908,-0.7305,-0.0856,0.833
0.609590,0.3908,-0.7305,-0.0856,0.833
0.623753,0.2108,-0.6336,0.1602,0.687
0.625487,0.2108,-0.6336,0.1602,0.687
0.643558,0.1301,0.1184,-0.1612,0.239
0.645503,0.1301,0.1184,-0.1612,0.239
0.665345,-0.2664,0.3390,-0.4518,0.625
0.666633,-0.2664,0.3390,-0.4518,0.625
0.683794,0.3202,0.4423,-0.4110,0.683
0.685199,0.3202,0.4423,-0.4110,0.683
0.703724,0.7602,-0.6138,-0.4811,1.089
0.705356,0.7602,-0.6138,-0.4811,1.089
0.723981,1.2596,-1.2890,-0.3846,1.843
0.725382,1.2596,-1.2890,-0.3846,1.843
0.743381,1.3410,-1.2925,-0.4649,1.920
0.745086,1.3410,-1.2925,-0.4649,1.920
0.763079,1.1088,-0.7339,-0.5043,1.422
0.764565,1.1088,-0.7339,-0.5043,1.422
0.783351,0.6870,-0.1298,-0.5084,0.864
0.784631,0.6870,-0.1298,-0.5084,0.864
0.803318,0.4838,-0.0231,-0.3781,0.614
0.804669,0.4838,-0.0231,-0.3781,0.614
0.823168,0.4335,0.1687,-0.3900,0.607
0.823850,0.4335,0.1687,-0.3900,0.607
0.843963,0.5162,0.6395,-0.1474,0.835
0.845169,0.5162,0.6395,-0.1474,0.835
0.867235,0.2585,1.4505,0.2074,1.488
0.868560,0.2585,1.4505,0.2074,1.488
0.883071,-0.2045,1.3201,0.4587,1.412
0.884152,-0.2045,1.3201,0.4587,1.412
0.903247,-0.2138,0.4110,0.5204,0.697
0.904458,-0.2138,0.4110,0.5204,0.697
0.923753,0.0957,-0.4978,0.4776,0.696
0.925552,0.0957,-0.4978,0.4776,0.696
0.943990,0.1460,-1.1569,0.2949,1.203
0.945838,0.1460,-1.1569,0.2949,1.203
0.963646,0.1940,-1.3202,0.0737,1.336
0.964731,0.1940,-1.3202,0.0737,1.336
0.983248,0.1385,-1.5732,0.3297,1.613
0.984433,0.1385,-1.5732,0.3297,1.613
